Student_ID,Name,Section,Parental_Education,Study_Hours_per_Day,Sleep_Hours,Attendance_Percentage,Internet_Access,Extra_Classes,Math_Marks,Science_Marks,English_Marks,Hindi_Marks,SST_Marks,Final_Score,Result,Grade
1438,Pooja Deep Tiwari_1438,A,Postgraduate,6.0,8.43,93.83,Yes,No,79.27,59.9,84.25,63.89,60.44,69.55,Pass,A
1439,Karan Mohan Pandey_1439,B,School,5.3,7.84,77.47,Yes,Yes,72.6,37.16,54.77,66.51,66.06,59.42,Pass,B
1440,Simran Shiv Chauhan_1440,B,School,4.15,5.88,71.28,No,Yes,54.53,65.36,64.08,81.73,53.91,63.92,Pass,A
1441,Amit Kumar Sharma_1441,B,School,5.09,6.1,78.15,Yes,Yes,59.03,68.89,71.0,59.89,79.28,67.62,Pass,A
1442,Rahul Singh Verma_1442,B,School,3.68,4.62,100.0,No,No,45.05,20.6,64.15,65.46,83.95,55.84,Pass,B
1443,Priya Raj Yadav_1443,B,Graduate,4.74,8.04,86.55,Yes,No,51.55,58.73,59.2,73.72,74.88,63.62,Pass,A
1444,Sneha Dev Gupta_1444,C,School,5.53,5.33,80.33,No,No,65.96,82.48,87.55,67.92,64.65,73.71,Pass,A
1445,Arjun Prasad Singh_1445,A,School,6.44,5.92,83.7,No,No,48.15,51.86,64.76,48.12,41.57,50.89,Pass,B
1446,Anjali Kant Kumar_1446,C,Postgraduate,5.49,7.17,81.23,No,Yes,64.29,67.1,65.2,50.04,50.47,59.42,Pass,B
1447,Vikas Narayan Mishra_1447,A,Graduate,6.55,6.67,88.7,Yes,No,75.07,66.88,79.87,71.48,59.08,70.48,Pass,A
1448,Neha Deep Tiwari_1448,C,Graduate,2.34,6.94,65.43,Yes,Yes,67.52,17.49,62.28,66.48,95.73,61.9,Pass,A
1449,Rohit Mohan Pandey_1449,B,School,1.18,5.81,73.98,Yes,Yes,44.5,51.01,67.41,64.18,78.03,61.02,Pass,A
1450,Pooja Shiv Chauhan_1450,A,School,1.23,4.99,74.7,Yes,No,64.58,76.99,56.18,49.58,68.43,63.15,Pass,A
1451,Karan Kumar Sharma_1451,A,Postgraduate,6.17,6.76,61.1,No,Yes,89.62,68.62,81.58,64.52,72.32,75.33,Pass,A
1452,Simran Singh Verma_1452,C,Postgraduate,5.41,5.44,58.53,No,No,86.7,78.35,75.06,65.35,53.43,71.78,Pass,A
1453,Amit Raj Yadav_1453,C,School,3.42,7.12,95.95,No,No,60.38,58.39,94.16,86.8,74.2,74.79,Pass,A
1454,Rahul Dev Gupta_1454,A,PhD,3.92,5.43,85.63,Yes,No,57.71,81.39,71.61,64.1,64.08,67.78,Pass,A
1455,Priya Prasad Singh_1455,C,Postgraduate,5.0,6.32,100.0,Yes,Yes,76.93,79.52,89.53,67.9,35.33,69.84,Pass,A
1456,Sneha Kant Kumar_1456,C,PhD,3.42,8.56,82.57,Yes,Yes,58.61,93.37,70.8,64.55,56.61,68.79,Pass,A
1457,Arjun Narayan Mishra_1457,C,Graduate,3.27,6.76,79.8,Yes,No,42.56,88.25,77.92,56.64,48.95,62.86,Pass,A
1458,Anjali Deep Tiwari_1458,B,School,3.52,5.54,71.94,Yes,No,72.31,60.88,78.03,68.16,81.15,72.11,Pass,A
1459,Vikas Mohan Pandey_1459,B,Graduate,3.39,7.1,90.12,Yes,Yes,52.64,27.19,79.57,65.63,73.48,59.7,Pass,B
1460,Neha Shiv Chauhan_1460,C,Graduate,4.57,6.33,55.91,Yes,No,58.37,49.43,77.31,71.56,46.87,60.71,Pass,A
1461,Rohit Kumar Sharma_1461,C,School,6.99,5.55,79.57,Yes,No,65.2,50.35,74.45,87.86,57.35,67.04,Pass,A
1462,Pooja Singh Verma_1462,B,Postgraduate,2.99,6.53,88.87,No,Yes,55.88,52.24,73.68,69.63,31.94,56.67,Pass,B
1463,Karan Raj Yadav_1463,B,School,4.39,7.99,73.73,Yes,Yes,75.73,47.37,81.97,66.28,66.1,67.49,Pass,A
1464,Simran Dev Gupta_1464,A,Graduate,5.19,7.22,81.62,Yes,No,75.52,82.58,68.98,75.85,82.28,77.04,Pass,A
1465,Amit Prasad Singh_1465,A,School,5.3,6.28,98.77,Yes,Yes,75.7,60.7,67.49,67.14,56.35,65.47,Pass,A
1466,Rahul Kant Kumar_1466,B,Graduate,3.74,5.04,71.55,Yes,Yes,84.3,63.84,62.51,83.03,49.32,68.6,Pass,A
1467,Priya Narayan Mishra_1467,C,School,5.43,7.38,81.3,No,No,63.83,55.26,68.19,66.31,70.43,64.8,Pass,A
1468,Sneha Deep Tiwari_1468,C,Postgraduate,5.13,7.07,90.35,Yes,Yes,53.61,45.97,78.96,51.49,63.97,58.8,Pass,B
1469,Arjun Mohan Pandey_1469,C,Graduate,3.82,4.55,70.22,Yes,No,50.51,69.82,71.94,78.08,63.57,66.78,Pass,A
1470,Anjali Shiv Chauhan_1470,C,Postgraduate,2.47,4.72,58.82,Yes,No,49.13,61.78,83.15,53.98,59.31,61.47,Pass,A
1471,Vikas Kumar Sharma_1471,A,PhD,2.79,8.39,85.94,No,No,43.02,81.43,64.85,89.84,54.45,66.72,Pass,A
1472,Neha Singh Verma_1472,B,Graduate,5.62,6.88,76.74,No,No,49.15,83.43,66.9,59.14,57.94,63.31,Pass,A
1473,Rohit Raj Yadav_1473,C,PhD,6.64,4.83,74.6,Yes,No,72.84,64.82,57.83,59.23,58.29,62.6,Pass,A
1474,Pooja Dev Gupta_1474,A,School,4.5,7.86,77.55,No,Yes,62.64,63.94,78.68,86.47,56.65,69.68,Pass,A
1475,Karan Prasad Singh_1475,C,School,6.6,7.96,57.27,Yes,No,75.52,53.04,47.47,84.14,58.89,63.82,Pass,A
1476,Simran Kant Kumar_1476,B,School,4.42,5.65,71.25,Yes,No,44.0,83.46,86.13,77.62,68.81,72.0,Pass,A
1477,Amit Narayan Mishra_1477,A,School,2.78,5.39,85.72,Yes,Yes,57.41,76.89,83.04,82.57,78.07,75.6,Pass,A
1478,Rahul Deep Tiwari_1478,B,Postgraduate,4.19,6.6,74.96,Yes,No,100.0,70.16,88.21,58.34,59.69,75.28,Pass,A
1479,Priya Mohan Pandey_1479,B,School,6.74,6.69,67.26,No,Yes,85.39,57.25,74.27,81.41,63.21,72.31,Pass,A
1480,Sneha Shiv Chauhan_1480,A,Graduate,3.59,6.31,63.91,Yes,No,100.0,67.41,99.31,60.29,34.61,72.32,Pass,A
1481,Arjun Kumar Sharma_1481,A,Graduate,4.3,5.21,79.08,No,No,93.21,71.88,83.47,60.35,72.44,76.27,Pass,A
1482,Anjali Singh Verma_1482,A,Graduate,6.28,6.08,87.62,Yes,Yes,63.84,46.46,81.9,67.55,34.21,58.79,Pass,B
1483,Vikas Raj Yadav_1483,A,Graduate,6.18,5.99,90.39,Yes,Yes,68.8,62.51,75.32,47.87,62.0,63.3,Pass,A
1484,Neha Dev Gupta_1484,A,Postgraduate,4.96,4.71,66.66,Yes,No,66.52,43.91,53.98,79.14,47.88,58.29,Pass,B
1485,Rohit Prasad Singh_1485,A,School,5.3,7.69,99.37,Yes,Yes,56.57,53.23,70.13,76.15,65.69,64.36,Pass,A
1486,Pooja Kant Kumar_1486,A,School,6.09,5.23,76.71,No,No,88.97,68.8,66.12,72.06,72.53,73.69,Pass,A
1487,Karan Narayan Mishra_1487,C,Graduate,4.96,8.07,50.4,Yes,No,81.48,80.89,68.08,65.78,64.58,72.16,Pass,A
1488,Simran Deep Tiwari_1488,B,Graduate,6.42,6.68,76.78,Yes,No,83.67,52.79,69.27,64.38,74.3,68.88,Pass,A
1489,Amit Mohan Pandey_1489,A,Graduate,5.51,5.73,59.95,Yes,Yes,46.7,36.14,79.13,74.47,49.01,57.09,Pass,B
1490,Rahul Shiv Chauhan_1490,C,Postgraduate,4.28,6.97,81.14,Yes,No,53.94,60.16,71.41,66.47,54.9,61.38,Pass,A
1491,Priya Kumar Sharma_1491,C,Graduate,5.15,6.34,79.17,No,No,68.87,62.05,56.83,55.01,58.84,60.32,Pass,A
1492,Sneha Singh Verma_1492,C,Graduate,3.92,8.09,52.15,Yes,Yes,47.05,45.11,52.8,64.83,79.04,57.76,Pass,B
1493,Arjun Raj Yadav_1493,B,School,3.05,9.0,96.57,Yes,No,64.66,50.9,78.31,74.09,43.65,62.32,Pass,A
1494,Anjali Dev Gupta_1494,A,Graduate,2.79,6.97,65.32,Yes,No,45.09,58.23,59.92,50.85,49.21,52.66,Pass,B
1495,Vikas Prasad Singh_1495,C,Graduate,4.19,6.29,47.72,Yes,No,46.01,76.63,48.48,81.91,63.47,63.3,Pass,A
1496,Neha Kant Kumar_1496,B,School,4.97,8.42,94.21,Yes,Yes,89.01,37.56,70.59,83.77,63.56,68.9,Pass,A
1497,Rohit Narayan Mishra_1497,B,School,7.2,6.25,84.16,No,No,100.0,56.92,76.59,88.61,68.09,78.04,Pass,A
1498,Pooja Deep Tiwari_1498,B,Postgraduate,5.12,5.87,71.16,Yes,No,79.19,85.07,70.88,64.12,71.66,74.19,Pass,A
1499,Karan Mohan Pandey_1499,C,School,4.79,7.98,75.73,Yes,No,55.73,48.91,62.51,64.64,59.09,58.18,Pass,B
1500,Simran Shiv Chauhan_1500,A,School,4.35,7.51,73.25,Yes,No,63.28,69.09,91.17,49.44,53.33,65.26,Pass,A
1501,Amit Kumar Sharma_1501,C,Graduate,3.96,5.88,51.2,Yes,Yes,72.6,59.95,55.95,48.76,68.46,61.15,Pass,A
1502,Rahul Singh Verma_1502,C,School,4.7,6.88,54.03,Yes,No,76.15,70.84,75.53,61.47,75.83,71.96,Pass,A
1503,Priya Raj Yadav_1503,A,Postgraduate,4.09,6.09,89.28,Yes,No,65.05,60.33,76.6,65.68,54.74,64.48,Pass,A
1504,Sneha Dev Gupta_1504,A,School,4.01,7.23,81.19,Yes,Yes,77.38,66.09,72.94,57.81,79.7,70.78,Pass,A
1505,Arjun Prasad Singh_1505,A,Graduate,5.73,7.11,88.73,No,No,67.84,76.5,75.48,68.54,80.53,73.78,Pass,A
1506,Anjali Kant Kumar_1506,B,Graduate,3.14,4.97,93.11,Yes,Yes,51.57,71.54,82.09,51.62,74.18,66.2,Pass,A
1507,Vikas Narayan Mishra_1507,A,Postgraduate,4.13,6.55,40.0,Yes,No,71.85,72.17,62.78,76.79,34.53,63.62,Pass,A
1508,Neha Deep Tiwari_1508,C,School,3.47,4.72,68.88,Yes,Yes,82.46,74.97,75.94,74.38,62.3,74.01,Pass,A
1509,Rohit Mohan Pandey_1509,A,Graduate,4.68,4.79,57.67,Yes,No,70.61,55.29,68.24,57.31,53.96,61.08,Pass,A
1510,Pooja Shiv Chauhan_1510,C,Graduate,5.78,5.91,73.08,Yes,Yes,52.05,41.23,60.42,39.18,56.65,49.91,Pass,C
1511,Karan Kumar Sharma_1511,B,Graduate,5.02,5.78,47.21,Yes,No,66.83,92.65,57.31,52.41,75.27,68.9,Pass,A
1512,Simran Singh Verma_1512,C,Graduate,4.17,4.45,83.96,Yes,No,55.4,66.55,66.49,71.66,81.79,68.38,Pass,A
1513,Amit Raj Yadav_1513,C,Graduate,5.91,5.08,84.91,Yes,No,49.85,80.77,75.04,74.02,70.17,69.97,Pass,A
1514,Rahul Dev Gupta_1514,A,Postgraduate,5.82,4.65,100.0,Yes,Yes,49.8,22.16,67.49,75.1,63.63,55.64,Pass,B
1515,Priya Prasad Singh_1515,A,School,4.56,5.61,73.5,Yes,Yes,53.0,90.15,76.86,40.34,48.84,61.84,Pass,A
1516,Sneha Kant Kumar_1516,C,School,6.89,7.13,85.16,Yes,No,69.51,49.24,77.89,63.89,56.45,63.4,Pass,A
1517,Arjun Narayan Mishra_1517,A,Postgraduate,5.13,8.27,89.55,Yes,Yes,86.41,63.91,67.83,98.35,72.66,77.83,Pass,A
1518,Anjali Deep Tiwari_1518,B,School,5.09,7.77,100.0,Yes,No,79.41,52.32,75.95,67.4,47.88,64.59,Pass,A
1519,Vikas Mohan Pandey_1519,B,PhD,2.7,7.02,58.03,Yes,Yes,71.25,30.47,98.29,60.25,66.22,65.29,Pass,A
1520,Neha Shiv Chauhan_1520,A,Graduate,1.97,6.95,88.43,Yes,Yes,78.03,64.09,82.38,92.92,71.28,77.74,Pass,A
1521,Rohit Kumar Sharma_1521,B,Graduate,4.6,6.37,80.96,Yes,No,84.46,88.51,49.6,78.59,69.18,74.07,Pass,A
1522,Pooja Singh Verma_1522,A,School,6.0,6.38,50.74,Yes,Yes,84.07,52.16,92.44,62.96,49.68,68.26,Pass,A
1523,Karan Raj Yadav_1523,C,School,4.99,8.16,82.01,Yes,No,63.95,51.13,78.69,86.97,47.58,65.66,Pass,A
1524,Simran Dev Gupta_1524,C,Graduate,5.93,7.24,86.12,No,No,56.69,84.83,59.84,62.97,35.86,60.04,Pass,A
1525,Amit Prasad Singh_1525,B,Postgraduate,3.88,6.74,49.7,No,Yes,94.53,63.82,64.35,48.55,46.51,63.55,Pass,A
1526,Rahul Kant Kumar_1526,A,PhD,4.62,4.39,73.86,Yes,Yes,74.15,45.77,84.69,48.0,92.38,69.0,Pass,A
1527,Priya Narayan Mishra_1527,A,School,4.53,7.37,76.18,No,Yes,80.08,49.13,76.87,71.32,25.82,60.64,Pass,A
1528,Sneha Deep Tiwari_1528,B,School,1.8,7.39,75.72,Yes,Yes,47.31,53.74,78.22,90.03,85.77,71.01,Pass,A
1529,Arjun Mohan Pandey_1529,C,School,7.18,5.76,84.37,No,No,88.19,73.65,59.44,77.64,42.64,68.31,Pass,A
1530,Anjali Shiv Chauhan_1530,B,Postgraduate,6.3,6.77,66.01,No,Yes,53.78,28.55,67.4,61.08,42.48,50.66,Pass,B
1531,Vikas Kumar Sharma_1531,C,School,5.89,6.34,58.58,No,Yes,56.35,58.63,64.67,87.97,78.61,69.24,Pass,A
1532,Neha Singh Verma_1532,A,School,6.43,5.85,82.31,Yes,No,51.05,61.97,79.71,87.3,69.23,69.85,Pass,A
1533,Rohit Raj Yadav_1533,C,School,3.8,6.99,98.58,Yes,No,64.11,69.62,70.9,76.02,79.16,71.96,Pass,A
1534,Pooja Dev Gupta_1534,B,School,5.69,5.2,97.48,Yes,Yes,66.18,67.01,71.49,85.45,45.47,67.12,Pass,A
1535,Karan Prasad Singh_1535,A,PhD,3.8,8.95,100.0,Yes,No,62.23,54.37,71.81,79.4,72.69,68.1,Pass,A
1536,Simran Kant Kumar_1536,B,Graduate,4.72,7.14,69.44,No,Yes,65.52,39.34,66.48,75.67,70.73,63.55,Pass,A
1537,Amit Narayan Mishra_1537,B,School,1.89,6.37,72.48,No,No,48.5,68.65,55.52,62.36,39.19,54.84,Pass,B
1538,Rahul Deep Tiwari_1538,C,School,4.28,7.65,42.72,No,Yes,74.74,78.91,79.18,76.3,34.13,68.65,Pass,A
1539,Priya Mohan Pandey_1539,B,School,2.2,7.44,65.77,Yes,No,94.43,48.91,76.31,86.51,67.27,74.69,Pass,A
1540,Sneha Shiv Chauhan_1540,C,School,2.62,5.61,51.29,Yes,No,53.92,45.77,69.44,56.68,64.04,57.97,Pass,B
1541,Arjun Kumar Sharma_1541,A,School,4.42,5.89,69.82,Yes,Yes,52.57,57.86,69.72,96.12,63.57,67.97,Pass,A
1542,Anjali Singh Verma_1542,C,Graduate,3.44,3.76,95.43,Yes,No,61.98,70.32,65.59,55.56,64.74,63.64,Pass,A
1543,Vikas Raj Yadav_1543,A,School,5.01,5.21,90.97,Yes,Yes,61.1,58.61,82.4,80.95,71.18,70.85,Pass,A
1544,Neha Dev Gupta_1544,C,School,7.01,7.3,70.06,Yes,No,47.1,79.26,72.82,54.09,45.33,59.72,Pass,B
1545,Rohit Prasad Singh_1545,B,School,3.57,6.72,66.38,Yes,No,42.73,68.28,63.03,75.14,97.57,69.35,Pass,A
1546,Pooja Kant Kumar_1546,C,Postgraduate,4.1,5.91,62.81,Yes,No,83.07,63.07,73.58,69.47,81.3,74.1,Pass,A
1547,Karan Narayan Mishra_1547,C,Graduate,5.5,6.92,87.94,Yes,Yes,37.6,27.15,58.92,69.58,71.72,52.99,Pass,B
1548,Simran Deep Tiwari_1548,A,Graduate,3.5,5.86,70.3,Yes,Yes,65.03,78.85,66.38,78.93,54.99,68.84,Pass,A
1549,Amit Mohan Pandey_1549,B,Graduate,3.43,4.76,78.96,Yes,No,48.16,17.15,72.36,59.09,44.84,48.32,Pass,C
1550,Rahul Shiv Chauhan_1550,C,Graduate,3.83,5.36,85.04,Yes,Yes,83.86,22.7,75.32,48.05,56.57,57.3,Pass,B
1551,Priya Kumar Sharma_1551,B,School,5.82,9.0,86.13,Yes,No,44.51,49.35,62.78,60.73,38.69,51.21,Pass,B
1552,Sneha Singh Verma_1552,C,Postgraduate,1.85,6.32,40.0,Yes,No,52.26,79.46,64.97,90.09,69.31,71.22,Pass,A
1553,Arjun Raj Yadav_1553,C,School,3.23,6.39,83.41,No,No,45.0,61.92,70.39,60.38,64.88,60.52,Pass,A
1554,Anjali Dev Gupta_1554,B,Graduate,6.8,7.13,76.49,Yes,Yes,53.3,54.92,57.22,77.4,41.4,56.85,Pass,B
1555,Vikas Prasad Singh_1555,C,Postgraduate,1.0,7.67,47.96,Yes,No,48.26,60.08,58.79,77.93,68.79,62.77,Pass,A
1556,Neha Kant Kumar_1556,B,Graduate,4.31,6.23,95.72,No,No,72.99,81.06,66.71,77.46,52.52,70.15,Pass,A
1557,Rohit Narayan Mishra_1557,C,Postgraduate,6.79,7.83,77.97,Yes,Yes,71.85,22.55,56.22,87.22,47.99,57.17,Pass,B
1558,Pooja Deep Tiwari_1558,A,Graduate,7.36,6.24,51.77,Yes,No,100.0,60.64,67.98,75.09,87.95,78.33,Pass,A
1559,Karan Mohan Pandey_1559,B,Postgraduate,5.7,6.49,66.26,Yes,No,34.45,45.78,71.89,70.48,62.69,57.06,Pass,B
1560,Simran Shiv Chauhan_1560,C,Postgraduate,6.26,5.92,71.84,Yes,Yes,76.43,50.25,56.73,73.95,47.18,60.91,Pass,A
1561,Amit Kumar Sharma_1561,C,PhD,3.08,7.42,100.0,Yes,No,59.1,79.2,71.04,58.74,51.45,63.91,Pass,A
1562,Rahul Singh Verma_1562,A,Postgraduate,3.2,4.84,61.89,No,No,75.83,42.17,50.98,93.56,58.98,64.3,Pass,A
1563,Priya Raj Yadav_1563,B,Postgraduate,7.07,6.77,64.67,Yes,No,61.21,46.24,69.55,57.51,59.56,58.82,Pass,B
1564,Sneha Dev Gupta_1564,C,Graduate,4.1,7.21,77.7,Yes,Yes,80.02,63.22,69.2,43.25,77.57,66.65,Pass,A
1565,Arjun Prasad Singh_1565,A,School,1.68,7.73,100.0,Yes,Yes,94.72,46.9,68.45,78.5,82.36,74.18,Pass,A
1566,Anjali Kant Kumar_1566,C,School,5.13,7.16,71.52,Yes,Yes,53.28,82.86,86.65,92.52,77.29,78.52,Pass,A
1567,Vikas Narayan Mishra_1567,B,Graduate,4.21,5.4,68.3,Yes,Yes,49.42,70.83,84.94,43.37,46.31,58.97,Pass,B
1568,Neha Deep Tiwari_1568,C,PhD,4.62,7.19,77.7,Yes,Yes,47.34,50.36,54.68,48.6,76.11,55.41,Pass,B
1569,Rohit Mohan Pandey_1569,C,Graduate,1.0,7.39,70.05,No,No,42.38,84.79,73.45,64.1,52.18,63.38,Pass,A
1570,Pooja Shiv Chauhan_1570,C,Postgraduate,1.0,7.28,69.83,Yes,Yes,54.91,75.15,62.92,28.66,36.72,51.67,Pass,B
1571,Karan Kumar Sharma_1571,C,Postgraduate,4.95,6.21,89.44,Yes,Yes,56.83,79.24,79.54,82.4,45.68,68.74,Pass,A
1572,Simran Singh Verma_1572,A,School,4.05,6.32,67.54,Yes,Yes,66.87,44.98,64.76,65.42,100.0,68.4,Pass,A
1573,Amit Raj Yadav_1573,A,School,3.81,7.69,69.73,Yes,No,57.76,76.73,77.43,68.59,68.89,69.88,Pass,A
1574,Rahul Dev Gupta_1574,B,School,5.09,6.5,90.0,Yes,No,56.2,39.13,74.41,63.43,62.11,59.06,Pass,B
1575,Priya Prasad Singh_1575,A,School,3.33,5.36,53.56,Yes,Yes,67.43,70.6,65.73,64.94,50.2,63.78,Pass,A
1576,Sneha Kant Kumar_1576,A,Graduate,4.1,6.01,69.8,Yes,Yes,61.74,37.67,66.17,84.43,69.59,63.92,Pass,A
1577,Arjun Narayan Mishra_1577,B,PhD,3.83,8.29,50.03,Yes,No,82.63,38.36,75.23,71.7,62.05,65.99,Pass,A
1578,Anjali Deep Tiwari_1578,A,Postgraduate,5.83,4.89,67.52,No,No,82.41,57.26,72.62,81.94,67.45,72.33,Pass,A
1579,Vikas Mohan Pandey_1579,A,Graduate,1.68,8.06,69.74,Yes,No,56.14,57.47,55.28,55.42,67.58,58.38,Pass,B
1580,Neha Shiv Chauhan_1580,B,School,3.53,6.53,69.99,Yes,No,45.49,60.48,92.59,58.12,62.82,63.9,Pass,A
1581,Rohit Kumar Sharma_1581,B,School,6.13,4.91,69.15,Yes,Yes,60.75,65.98,77.54,68.41,54.6,65.46,Pass,A
1582,Pooja Singh Verma_1582,B,Graduate,3.24,7.45,79.21,Yes,No,60.72,62.55,72.3,67.08,53.22,63.17,Pass,A
1583,Karan Raj Yadav_1583,C,School,4.68,5.65,58.23,Yes,No,95.92,82.37,78.75,84.47,19.65,72.23,Pass,A
1584,Simran Dev Gupta_1584,C,School,7.0,6.61,80.85,Yes,Yes,64.23,55.81,56.92,76.78,70.24,64.79,Pass,A
1585,Amit Prasad Singh_1585,B,Graduate,4.74,4.3,67.41,Yes,No,60.88,56.43,55.48,66.4,54.21,58.68,Pass,B
1586,Rahul Kant Kumar_1586,B,School,7.71,8.11,86.37,Yes,Yes,35.04,38.45,52.4,72.27,97.02,59.04,Pass,B
1587,Priya Narayan Mishra_1587,B,Postgraduate,6.6,6.15,74.06,No,No,74.93,57.0,46.92,56.65,44.12,55.92,Pass,B
1588,Sneha Deep Tiwari_1588,C,School,3.52,5.76,66.12,No,Yes,61.37,37.88,71.76,54.86,74.47,60.07,Pass,A
1589,Arjun Mohan Pandey_1589,C,School,2.6,6.73,55.34,Yes,Yes,78.51,46.72,65.7,46.73,60.32,59.6,Pass,B
1590,Anjali Shiv Chauhan_1590,A,School,3.59,7.56,79.45,Yes,No,86.96,47.63,72.39,100.0,54.47,72.29,Pass,A
1591,Vikas Kumar Sharma_1591,A,School,5.07,6.27,72.12,No,No,51.12,60.72,69.08,66.82,47.8,59.11,Pass,B
1592,Neha Singh Verma_1592,B,Graduate,5.02,7.52,96.94,Yes,Yes,78.77,75.02,84.03,66.28,71.92,75.21,Pass,A
1593,Rohit Raj Yadav_1593,C,Graduate,5.5,6.47,98.08,Yes,No,75.1,42.8,69.39,73.92,54.79,63.2,Pass,A
1594,Pooja Dev Gupta_1594,C,Graduate,3.11,6.61,67.71,No,Yes,58.04,89.67,51.54,68.69,72.32,68.05,Pass,A
1595,Karan Prasad Singh_1595,C,Graduate,3.33,5.54,40.0,Yes,No,49.14,69.29,62.98,72.19,72.48,65.22,Pass,A
1596,Simran Kant Kumar_1596,B,School,5.34,7.77,88.3,Yes,No,49.39,45.48,98.85,65.47,71.92,66.22,Pass,A
1597,Amit Narayan Mishra_1597,A,Graduate,7.49,7.3,67.02,Yes,Yes,57.51,81.55,59.33,81.66,83.56,72.72,Pass,A
1598,Rahul Deep Tiwari_1598,B,School,2.85,7.16,69.75,Yes,Yes,66.16,56.44,76.45,91.49,74.54,73.02,Pass,A
1599,Priya Mohan Pandey_1599,A,School,4.39,7.78,92.92,Yes,Yes,81.74,56.37,83.06,76.4,68.92,73.3,Pass,A
1600,Sneha Shiv Chauhan_1600,A,Postgraduate,3.96,5.24,80.21,Yes,No,83.24,46.97,73.56,92.45,68.5,72.94,Pass,A
1601,Arjun Kumar Sharma_1601,B,Postgraduate,4.72,6.59,87.72,Yes,No,60.63,68.9,53.43,83.69,37.51,60.83,Pass,A
1602,Anjali Singh Verma_1602,A,Graduate,2.7,7.83,90.95,Yes,No,43.1,44.46,68.63,61.01,62.91,56.03,Pass,B
1603,Vikas Raj Yadav_1603,A,School,4.63,6.46,72.48,Yes,No,52.16,43.47,51.27,53.24,68.85,53.8,Pass,B
1604,Neha Dev Gupta_1604,C,School,6.33,6.68,85.26,Yes,Yes,61.15,27.9,80.14,40.66,80.15,58.0,Pass,B
1605,Rohit Prasad Singh_1605,A,PhD,2.06,6.64,76.58,Yes,Yes,56.39,77.87,70.19,65.76,46.51,63.35,Pass,A
1606,Pooja Kant Kumar_1606,B,School,5.99,7.07,83.09,Yes,No,85.62,52.11,92.07,70.87,89.92,78.12,Pass,A
1607,Karan Narayan Mishra_1607,B,School,2.71,4.19,77.34,Yes,No,56.69,91.37,77.07,73.12,57.17,71.08,Pass,A
1608,Simran Deep Tiwari_1608,A,School,4.89,6.64,95.41,Yes,No,35.29,69.57,41.17,62.54,56.52,53.02,Pass,B
1609,Amit Mohan Pandey_1609,C,School,5.23,6.98,55.78,Yes,No,80.76,75.8,65.54,79.06,96.08,79.45,Pass,A
1610,Rahul Shiv Chauhan_1610,C,School,5.06,6.97,68.49,Yes,Yes,74.92,78.37,47.37,94.15,55.68,70.1,Pass,A
1611,Priya Kumar Sharma_1611,A,Graduate,4.0,8.42,73.67,Yes,Yes,50.66,62.91,87.85,76.26,53.33,66.2,Pass,A
1612,Sneha Singh Verma_1612,A,Graduate,5.49,5.8,76.81,Yes,Yes,63.46,68.48,54.85,56.72,34.7,55.64,Pass,B
1613,Arjun Raj Yadav_1613,B,Postgraduate,2.61,8.48,55.76,No,No,52.08,79.88,81.11,90.26,54.14,71.5,Pass,A
1614,Anjali Dev Gupta_1614,A,School,5.87,6.06,63.85,Yes,No,92.3,69.57,79.19,49.11,47.92,67.62,Pass,A
1615,Vikas Prasad Singh_1615,C,School,3.8,4.88,75.55,No,No,39.33,47.1,62.73,71.32,40.89,52.28,Pass,B
1616,Neha Kant Kumar_1616,A,Graduate,4.98,8.31,66.84,Yes,No,50.07,49.81,84.2,44.16,69.62,59.57,Pass,B
1617,Rohit Narayan Mishra_1617,B,Graduate,3.97,7.76,49.27,Yes,No,58.03,63.21,71.58,55.71,46.63,59.03,Pass,B
1618,Pooja Deep Tiwari_1618,B,Graduate,6.8,6.66,69.53,Yes,Yes,72.05,38.81,99.0,75.15,66.64,70.33,Pass,A
1619,Karan Mohan Pandey_1619,B,Postgraduate,5.16,5.8,56.8,Yes,Yes,80.97,52.41,53.53,57.62,85.37,65.98,Pass,A
1620,Simran Shiv Chauhan_1620,B,School,5.48,6.25,84.01,Yes,Yes,79.07,52.8,85.8,68.46,50.69,67.37,Pass,A
1621,Amit Kumar Sharma_1621,B,Postgraduate,5.68,6.81,79.42,Yes,No,73.03,37.14,77.34,53.89,73.52,62.98,Pass,A
1622,Rahul Singh Verma_1622,A,Graduate,4.14,8.17,88.51,No,No,37.49,65.24,59.98,78.72,52.15,58.71,Pass,B
1623,Priya Raj Yadav_1623,A,School,4.93,4.92,78.13,Yes,Yes,54.32,75.9,87.09,55.3,92.47,73.02,Pass,A
1624,Sneha Dev Gupta_1624,A,Postgraduate,4.75,6.25,58.9,No,No,71.17,67.33,61.02,62.79,56.14,63.69,Pass,A
1625,Arjun Prasad Singh_1625,A,Graduate,5.47,6.18,40.0,Yes,No,72.97,24.99,87.19,28.91,50.76,52.96,Pass,B
1626,Anjali Kant Kumar_1626,B,School,3.83,5.92,92.15,No,Yes,52.88,45.02,57.37,65.15,98.12,63.71,Pass,A
1627,Vikas Narayan Mishra_1627,C,School,3.44,5.72,68.6,No,No,56.53,77.56,74.52,72.92,50.3,66.37,Pass,A
1628,Neha Deep Tiwari_1628,A,School,6.27,8.43,41.52,Yes,No,60.25,70.89,71.99,72.35,39.9,63.08,Pass,A
